heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
monotonaprimeiramelhora,10,10,1,0.000067,32,435,0.8
monotonaprimeiramelhora,10,10,2,0.000116,43,373,0.8
monotonaprimeiramelhora,10,10,3,0.000165,56,300,0.8
monotonaprimeiramelhora,10,10,4,0.000029999999999999997,25,482,0.8
monotonaprimeiramelhora,10,10,5,0.000107,42,243,0.8
monotonaprimeiramelhora,10,10,6,0.000107,43,386,0.8
monotonaprimeiramelhora,10,10,7,0.000156,55,275,0.8
monotonaprimeiramelhora,10,10,8,0.000137,46,322,0.8
monotonaprimeiramelhora,10,10,9,0.000224,53,256,0.8
monotonaprimeiramelhora,10,10,10,0.000174,48,302,0.8
monotonaprimeiramelhora,10,10,1,0.000099,45,327,0.85
monotonaprimeiramelhora,10,10,2,0.000047,26,365,0.85
monotonaprimeiramelhora,10,10,3,0.00015099999999999998,54,263,0.85
monotonaprimeiramelhora,10,10,4,0.000056,31,453,0.85
monotonaprimeiramelhora,10,10,5,0.000401,69,191,0.85
monotonaprimeiramelhora,10,10,6,0.000069,34,421,0.85
monotonaprimeiramelhora,10,10,7,0.00008499999999999999,38,441,0.85
monotonaprimeiramelhora,10,10,8,0.00034399999999999996,72,203,0.85
monotonaprimeiramelhora,10,10,9,0.00016199999999999998,54,243,0.85
monotonaprimeiramelhora,10,10,10,0.000317,66,199,0.85
monotonaprimeiramelhora,10,10,1,0.00019899999999999999,51,295,0.9
monotonaprimeiramelhora,10,10,2,0.000174,49,310,0.9
monotonaprimeiramelhora,10,10,3,0.000277,67,232,0.9
monotonaprimeiramelhora,10,10,4,0.00010499999999999999,40,303,0.9
monotonaprimeiramelhora,10,10,5,0.000063,32,504,0.9
monotonaprimeiramelhora,10,10,6,0.00013099999999999999,45,364,0.9
monotonaprimeiramelhora,10,10,7,0.00008499999999999999,36,349,0.9
monotonaprimeiramelhora,10,10,8,0.000184,57,251,0.9
monotonaprimeiramelhora,10,10,9,0.000118,40,333,0.9
monotonaprimeiramelhora,10,10,10,0.000028,29,550,0.9
monotonaprimeiramelhora,10,10,1,0.000058,37,405,0.95
monotonaprimeiramelhora,10,10,2,0.00023799999999999998,66,157,0.95
monotonaprimeiramelhora,10,10,3,0.000072,37,338,0.95
monotonaprimeiramelhora,10,10,4,0.00007999999999999999,37,467,0.95
monotonaprimeiramelhora,10,10,5,0.000048,34,431,0.95
monotonaprimeiramelhora,10,10,6,0.000103,48,265,0.95
monotonaprimeiramelhora,10,10,7,0.000044,32,439,0.95
monotonaprimeiramelhora,10,10,8,0.000024999999999999998,22,592,0.95
monotonaprimeiramelhora,10,10,9,0.000103,45,319,0.95
monotonaprimeiramelhora,10,10,10,0.000165,59,234,0.95
monotonaprimeiramelhora,10,10,1,0.000077,37,381,0.99
monotonaprimeiramelhora,10,10,2,0.000247,49,379,0.99
monotonaprimeiramelhora,10,10,3,0.000166,51,228,0.99
monotonaprimeiramelhora,10,10,4,0.000412,72,209,0.99
monotonaprimeiramelhora,10,10,5,0.000042999999999999995,27,392,0.99
monotonaprimeiramelhora,10,10,6,0.000213,59,228,0.99
monotonaprimeiramelhora,10,10,7,0.00008499999999999999,43,333,0.99
monotonaprimeiramelhora,10,10,8,0.00019999999999999998,53,253,0.99
monotonaprimeiramelhora,10,10,9,0.000126,48,305,0.99
monotonaprimeiramelhora,10,10,10,0.000031,28,401,0.99
monotonaprimeiramelhora,100,10,1,0.000117,103,1579,0.8
monotonaprimeiramelhora,100,10,2,0.000058,62,2128,0.8
monotonaprimeiramelhora,100,10,3,0.000056999999999999996,67,2059,0.8
monotonaprimeiramelhora,100,10,4,0.000107,83,1723,0.8
monotonaprimeiramelhora,100,10,5,0.00007999999999999999,71,2105,0.8
monotonaprimeiramelhora,100,10,6,0.00021899999999999998,110,1307,0.8
monotonaprimeiramelhora,100,10,7,0.000093,73,2302,0.8
monotonaprimeiramelhora,100,10,8,0.000217,130,1148,0.8
monotonaprimeiramelhora,100,10,9,0.000345,158,980,0.8
monotonaprimeiramelhora,100,10,10,0.000064,69,2180,0.8
monotonaprimeiramelhora,100,10,1,0.000154,94,1491,0.85
monotonaprimeiramelhora,100,10,2,0.000026,53,2393,0.85
monotonaprimeiramelhora,100,10,3,0.000094,77,1838,0.85
monotonaprimeiramelhora,100,10,4,0.000099,79,1807,0.85
monotonaprimeiramelhora,100,10,5,0.000215,113,1231,0.85
monotonaprimeiramelhora,100,10,6,0.000508,178,717,0.85
monotonaprimeiramelhora,100,10,7,0.000087,81,1745,0.85
monotonaprimeiramelhora,100,10,8,0.00015,106,1400,0.85
monotonaprimeiramelhora,100,10,9,0.000073,76,1880,0.85
monotonaprimeiramelhora,100,10,10,0.00022799999999999999,128,1332,0.85
monotonaprimeiramelhora,100,10,1,0.000317,154,921,0.9
monotonaprimeiramelhora,100,10,2,0.000084,75,1825,0.9
monotonaprimeiramelhora,100,10,3,0.000046,57,2400,0.9
monotonaprimeiramelhora,100,10,4,0.000168,113,1377,0.9
monotonaprimeiramelhora,100,10,5,0.000108,96,1770,0.9
monotonaprimeiramelhora,100,10,6,0.000065,66,2000,0.9
monotonaprimeiramelhora,100,10,7,0.000159,112,1334,0.9
monotonaprimeiramelhora,100,10,8,0.000124,89,1496,0.9
monotonaprimeiramelhora,100,10,9,0.000198,106,1368,0.9
monotonaprimeiramelhora,100,10,10,0.000034,50,2369,0.9
monotonaprimeiramelhora,100,10,1,0.00025299999999999997,142,1016,0.95
monotonaprimeiramelhora,100,10,2,0.00038199999999999996,160,1023,0.95
monotonaprimeiramelhora,100,10,3,0.000064,67,2093,0.95
monotonaprimeiramelhora,100,10,4,0.000153,108,1380,0.95
monotonaprimeiramelhora,100,10,5,0.000042,57,2446,0.95
monotonaprimeiramelhora,100,10,6,0.00044899999999999996,180,797,0.95
monotonaprimeiramelhora,100,10,7,0.000087,82,1760,0.95
monotonaprimeiramelhora,100,10,8,0.000214,127,1102,0.95
monotonaprimeiramelhora,100,10,9,0.000257,137,1200,0.95
monotonaprimeiramelhora,100,10,10,0.00020999999999999998,121,1318,0.95
monotonaprimeiramelhora,100,10,1,0.000137,101,1611,0.99
monotonaprimeiramelhora,100,10,2,0.000067,71,1894,0.99
monotonaprimeiramelhora,100,10,3,0.00023999999999999998,118,1276,0.99
monotonaprimeiramelhora,100,10,4,0.00026,124,1182,0.99
monotonaprimeiramelhora,100,10,5,0.00019099999999999998,129,1216,0.99
monotonaprimeiramelhora,100,10,6,0.000034,63,2388,0.99
monotonaprimeiramelhora,100,10,7,0.00007099999999999999,70,2095,0.99
monotonaprimeiramelhora,100,10,8,0.00035299999999999996,137,1024,0.99
monotonaprimeiramelhora,100,10,9,0.000122,102,1392,0.99
monotonaprimeiramelhora,100,10,10,0.000019999999999999998,51,2484,0.99
monotonaprimeiramelhora,20,20,1,0.000042,45,2327,0.8
monotonaprimeiramelhora,20,20,2,0.000065,60,2082,0.8
monotonaprimeiramelhora,20,20,3,0.000474,114,1135,0.8
monotonaprimeiramelhora,20,20,4,0.000082,53,1936,0.8
monotonaprimeiramelhora,20,20,5,0.00007,49,2087,0.8
monotonaprimeiramelhora,20,20,6,0.00039,89,1241,0.8
monotonaprimeiramelhora,20,20,7,0.00019999999999999998,86,1458,0.8
monotonaprimeiramelhora,20,20,8,0.00022799999999999999,85,1405,0.8
monotonaprimeiramelhora,20,20,9,0.00010499999999999999,67,1876,0.8
monotonaprimeiramelhora,20,20,10,0.00022799999999999999,83,1345,0.8
monotonaprimeiramelhora,20,20,1,0.000083,57,1849,0.85
monotonaprimeiramelhora,20,20,2,0.000035,44,2116,0.85
monotonaprimeiramelhora,20,20,3,0.00017199999999999998,67,1633,0.85
monotonaprimeiramelhora,20,20,4,0.00040199999999999996,94,1256,0.85
monotonaprimeiramelhora,20,20,5,0.000472,111,1060,0.85
monotonaprimeiramelhora,20,20,6,0.00011999999999999999,69,1702,0.85
monotonaprimeiramelhora,20,20,7,0.000663,130,887,0.85
monotonaprimeiramelhora,20,20,8,0.000459,116,1096,0.85
monotonaprimeiramelhora,20,20,9,0.00013,65,1591,0.85
monotonaprimeiramelhora,20,20,10,0.000256,90,1661,0.85
monotonaprimeiramelhora,20,20,1,0.000682,123,952,0.9
monotonaprimeiramelhora,20,20,2,0.000815,135,854,0.9
monotonaprimeiramelhora,20,20,3,0.00039099999999999996,105,1106,0.9
monotonaprimeiramelhora,20,20,4,0.000183,81,1172,0.9
monotonaprimeiramelhora,20,20,5,0.000358,105,1250,0.9
monotonaprimeiramelhora,20,20,6,0.000144,73,1661,0.9
monotonaprimeiramelhora,20,20,7,0.000879,149,885,0.9
monotonaprimeiramelhora,20,20,8,0.00047,116,1098,0.9
monotonaprimeiramelhora,20,20,9,0.000097,61,1761,0.9
monotonaprimeiramelhora,20,20,10,0.000101,52,2004,0.9
monotonaprimeiramelhora,20,20,1,0.002405,204,544,0.95
monotonaprimeiramelhora,20,20,2,0.000522,114,1023,0.95
monotonaprimeiramelhora,20,20,3,0.000042999999999999995,48,2118,0.95
monotonaprimeiramelhora,20,20,4,0.000423,105,1159,0.95
monotonaprimeiramelhora,20,20,5,0.001147,168,734,0.95
monotonaprimeiramelhora,20,20,6,0.000611,130,983,0.95
monotonaprimeiramelhora,20,20,7,0.00040899999999999997,109,996,0.95
monotonaprimeiramelhora,20,20,8,0.000309,83,1321,0.95
monotonaprimeiramelhora,20,20,9,0.000958,135,883,0.95
monotonaprimeiramelhora,20,20,10,0.000133,71,1550,0.95
monotonaprimeiramelhora,20,20,1,0.00037,109,1264,0.99
monotonaprimeiramelhora,20,20,2,0.000381,100,1091,0.99
monotonaprimeiramelhora,20,20,3,0.000154,75,1537,0.99
monotonaprimeiramelhora,20,20,4,0.000137,66,1522,0.99
monotonaprimeiramelhora,20,20,5,0.000052,55,2155,0.99
monotonaprimeiramelhora,20,20,6,0.000083,55,2270,0.99
monotonaprimeiramelhora,20,20,7,0.000084,55,1792,0.99
monotonaprimeiramelhora,20,20,8,0.000561,127,905,0.99
monotonaprimeiramelhora,20,20,9,0.000502,117,1029,0.99
monotonaprimeiramelhora,20,20,10,0.000223,85,1248,0.99
monotonaprimeiramelhora,400,20,1,0.000337,263,8646,0.8
monotonaprimeiramelhora,400,20,2,0.000089,206,9863,0.8
monotonaprimeiramelhora,400,20,3,0.000405,280,8714,0.8
monotonaprimeiramelhora,400,20,4,0.000505,315,8019,0.8
monotonaprimeiramelhora,400,20,5,0.00042699999999999997,250,8945,0.8
monotonaprimeiramelhora,400,20,6,0.000122,209,9787,0.8
monotonaprimeiramelhora,400,20,7,0.000178,227,9373,0.8
